"num"	"acc"	"llr[0|0]"	"llr[0|1]"	"llr[1|0]"	"llr[1|1]"
"AO49JS7KNRQ5A"	20	0.85	1.41503749927884	-1.41503749927884	-2.45943161863730	2.45943161863730
"APOA130JRSXAV"	20	0.75	0.87446911791614	-0.87446911791614	-2.58496250072116	2.58496250072116
"AQ1WI10VDQ7FE"	20	0.85	1.73696559416621	-1.73696559416621	-2.16992500144231	2.16992500144231
"AQ6JP5VBCTYDN"	20	0.75	1	-1	-1.45943161863730	1.45943161863730
"AS51Z6DBWM9JM"	60	0.65	0.662965012722429	-0.662965012722429	-1	1
"AS7QSZPN28VFT"	20	0.9	2.80735492205760	-2.80735492205760	-2.11547721741994	2.11547721741994
"ATJQTHNPVWH9"	20	0.85	2.16992500144231	-2.16992500144231	-1.73696559416621	1.73696559416621
"ATP8SOHDM9QOY"	140	0.885714285714286	2.23703919730085	-2.23703919730085	-3.90689059560852	3.90689059560852
"AVIVV0WYFK6EJ"	20	0.9	1.58496250072116	-1.58496250072116	-3.4594316186373	3.4594316186373
"AWK3LFAT0IHP3"	20	0.8	1	-1	-2.32192809488736	2.32192809488736
"AX2XQPTZ1H49C"	20	0.95	2.45943161863730	-2.45943161863730	-3.32192809488736	3.32192809488736
"AXBQF8RALCIGV"	700	0.575714285714286	0.58944989171347	-0.58944989171347	-0.34577483684173	0.34577483684173
"AYZHZZZE0UP0A"	20	0.6	0.415037499278844	-0.415037499278844	-0.584962500721156	0.584962500721156
"AZG7NPU1UZMPM"	20	0.85	1.58496250072116	-1.58496250072116	-2.80735492205760	2.80735492205760
"AZKV0OXDZVDYR"	20	0.6	1.58496250072116	-1.58496250072116	-0.289506617194985	0.289506617194985
